19/03/08 04:20:18 INFO client.RMProxy: Connecting to ResourceManager at cluster-m/10.138.0.4:8032
19/03/08 04:20:18 INFO client.AHSProxy: Connecting to Application History server at cluster-m/10.138.0.4:10200
19/03/08 04:20:19 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/08 04:20:19 INFO input.FileInputFormat: Total input files to process : 74
19/03/08 04:20:19 INFO mapreduce.JobSubmitter: number of splits:74
19/03/08 04:20:20 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/08 04:20:20 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1552015636109_0002
19/03/08 04:20:20 INFO impl.YarnClientImpl: Submitted application application_1552015636109_0002
19/03/08 04:20:20 INFO mapreduce.Job: The url to track the job: http://cluster-m:8088/proxy/application_1552015636109_0002/
19/03/08 04:20:20 INFO mapreduce.Job: Running job: job_1552015636109_0002
19/03/08 04:20:28 INFO mapreduce.Job: Job job_1552015636109_0002 running in uber mode : false
19/03/08 04:20:28 INFO mapreduce.Job:  map 0% reduce 0%
19/03/08 04:20:48 INFO mapreduce.Job:  map 1% reduce 0%
19/03/08 04:20:49 INFO mapreduce.Job:  map 2% reduce 0%
19/03/08 04:20:50 INFO mapreduce.Job:  map 3% reduce 0%
19/03/08 04:20:52 INFO mapreduce.Job:  map 4% reduce 0%
19/03/08 04:20:53 INFO mapreduce.Job:  map 7% reduce 0%
19/03/08 04:21:22 INFO mapreduce.Job:  map 8% reduce 0%
19/03/08 04:21:35 INFO mapreduce.Job:  map 9% reduce 0%
19/03/08 04:21:40 INFO mapreduce.Job:  map 10% reduce 0%
19/03/08 04:21:41 INFO mapreduce.Job:  map 11% reduce 0%
19/03/08 04:21:47 INFO mapreduce.Job:  map 12% reduce 0%
19/03/08 04:21:54 INFO mapreduce.Job:  map 13% reduce 0%
19/03/08 04:22:00 INFO mapreduce.Job:  map 14% reduce 0%
19/03/08 04:22:03 INFO mapreduce.Job:  map 15% reduce 0%
19/03/08 04:22:04 INFO mapreduce.Job:  map 16% reduce 0%
19/03/08 04:22:07 INFO mapreduce.Job:  map 18% reduce 0%
19/03/08 04:22:18 INFO mapreduce.Job:  map 19% reduce 0%
19/03/08 04:22:26 INFO mapreduce.Job:  map 20% reduce 0%
19/03/08 04:22:37 INFO mapreduce.Job:  map 21% reduce 0%
19/03/08 04:22:46 INFO mapreduce.Job:  map 22% reduce 0%
19/03/08 04:22:51 INFO mapreduce.Job:  map 23% reduce 0%
19/03/08 04:22:52 INFO mapreduce.Job:  map 24% reduce 0%
19/03/08 04:23:09 INFO mapreduce.Job:  map 25% reduce 0%
19/03/08 04:23:10 INFO mapreduce.Job:  map 26% reduce 0%
19/03/08 04:23:12 INFO mapreduce.Job:  map 28% reduce 0%
19/03/08 04:23:13 INFO mapreduce.Job:  map 29% reduce 0%
